length,approach
4.1607,cf-als
4.2237,cf-als
4.2007,cf-als
4.1348,cf-als
4.2053,cf-als
4.1556,cf-als
4.1665,cf-als
4.2121,cf-als
4.137,cf-als
4.213,cf-als
4.2011,cf-als
4.2219,cf-als
4.1545,cf-als
4.2203,cf-als
4.2734,cf-als
4.1924,cf-als
4.134,cf-als
4.1836,cf-als
4.2059,cf-als
4.1917,cf-als
4.2009,cf-als
4.1819,cf-als
4.194,cf-als
4.2099,cf-als
4.1479,cf-als
4.2324,cf-als
